open,high,low,close,volume
6260.0,6260.0,6260.0,6260.0,419476
6260.0,6260.0,6240.0,6240.0,403936
6240.0,6240.0,6220.0,6220.0,409206
6220.0,6240.0,6220.0,6220.0,401274
6220.0,6230.0,6210.0,6230.0,412543
6230.0,6240.0,6210.0,6240.0,420513
6240.0,6250.0,6230.0,6250.0,434881
6250.0,6280.0,6240.0,6280.0,405298
6280.0,6290.0,6270.0,6280.0,430681
6280.0,6290.0,6280.0,6290.0,459571
6290.0,6300.0,6290.0,6300.0,406046
6300.0,6300.0,6290.0,6290.0,428288
6290.0,6290.0,6280.0,6290.0,425517
6290.0,6290.0,6280.0,6290.0,427857
6290.0,6300.0,6280.0,6300.0,425068
6300.0,6300.0,6280.0,6290.0,404306
6290.0,6300.0,6280.0,6300.0,508470
6300.0,6300.0,6290.0,6300.0,403981
6300.0,6300.0,6290.0,6290.0,401180
6290.0,6300.0,6290.0,6300.0,403423
6300.0,6310.0,6290.0,6310.0,474617
6310.0,6310.0,6300.0,6310.0,401773
6310.0,6320.0,6310.0,6320.0,405913
6320.0,6320.0,6300.0,6300.0,415727
6300.0,6300.0,6300.0,6300.0,401054
6300.0,6320.0,6300.0,6320.0,405810
6320.0,6320.0,6320.0,6320.0,533082
6320.0,6330.0,6320.0,6320.0,424060
6320.0,6330.0,6320.0,6320.0,472411
6320.0,6320.0,6310.0,6310.0,421086
6310.0,6320.0,6310.0,6320.0,409666
6320.0,6320.0,6320.0,6320.0,447085
6320.0,6320.0,6310.0,6310.0,439824
6310.0,6310.0,6310.0,6310.0,404644
6310.0,6310.0,6310.0,6310.0,429551
6310.0,6320.0,6300.0,6300.0,450785
6300.0,6310.0,6300.0,6310.0,486513
6310.0,6310.0,6310.0,6310.0,400900
6310.0,6310.0,6300.0,6300.0,459000
6300.0,6310.0,6300.0,6310.0,475592
6310.0,6310.0,6300.0,6300.0,400131
6300.0,6310.0,6300.0,6300.0,433092
6300.0,6300.0,6300.0,6300.0,453745
6300.0,6300.0,6300.0,6300.0,476904
6300.0,6310.0,6300.0,6300.0,419649
6300.0,6310.0,6300.0,6300.0,400350
6300.0,6310.0,6290.0,6290.0,514418
6290.0,6300.0,6290.0,6290.0,468760
6290.0,6300.0,6290.0,6290.0,408636
6290.0,6290.0,6280.0,6280.0,421277
6280.0,6290.0,6280.0,6280.0,426205
6280.0,6290.0,6280.0,6280.0,412339
6280.0,6290.0,6280.0,6280.0,407252
6280.0,6290.0,6280.0,6280.0,431370
6280.0,6290.0,6280.0,6280.0,434913
6280.0,6290.0,6280.0,6280.0,454233
6280.0,6290.0,6280.0,6280.0,447095
6280.0,6290.0,6280.0,6280.0,405590
6280.0,6280.0,6280.0,6280.0,405340
6280.0,6280.0,6280.0,6280.0,401000
6280.0,6290.0,6280.0,6280.0,402175
6280.0,6290.0,6270.0,6270.0,405360
6270.0,6280.0,6260.0,6260.0,403163
6260.0,6270.0,6260.0,6260.0,403777
6260.0,6270.0,6260.0,6260.0,427256
6260.0,6270.0,6260.0,6270.0,413647
6270.0,6280.0,6270.0,6280.0,517666
6280.0,6290.0,6280.0,6280.0,459673
6280.0,6290.0,6280.0,6290.0,403254
6290.0,6290.0,6280.0,6280.0,441016
6280.0,6290.0,6280.0,6280.0,411465
6280.0,6290.0,6280.0,6280.0,409652
6280.0,6290.0,6280.0,6280.0,452909
6280.0,6290.0,6280.0,6280.0,445380
6280.0,6290.0,6280.0,6280.0,418543
6280.0,6290.0,6280.0,6280.0,408111
